iter	Logloss
0	0.6561052976
1	0.6256857713
2	0.5958083692
3	0.572023651
4	0.5488696979
5	0.5254198504
6	0.5069550461
7	0.4914816781
8	0.4813905944
9	0.4674889733
10	0.4566557585
11	0.448767131
12	0.4386474239
13	0.4327464563
14	0.4253945263
15	0.4190482572
16	0.4116892206
17	0.4047487654
18	0.3974244009
19	0.3933938957
20	0.3890780527
21	0.3860285827
22	0.3827019492
23	0.3798816389
24	0.3764303471
25	0.3743491909
26	0.3716050417
27	0.3701299158
28	0.3688920214
29	0.3667132374
30	0.363870405
31	0.3623967155
32	0.3592599133
33	0.3581259898
34	0.3557355016
35	0.353795162
36	0.3509557799
37	0.3486883574
38	0.3477381984
39	0.3468263097
40	0.3458910406
41	0.3450020274
42	0.3433547026
43	0.3425054742
44	0.3419023663
45	0.3405726455
46	0.3398810029
47	0.339258445
48	0.3375785083
49	0.3370921757
50	0.3351179576
51	0.3344762983
52	0.3339724909
53	0.333523337
54	0.3327455187
55	0.3323287084
56	0.3307134373
57	0.3303632655
58	0.3299500587
59	0.3295110639
60	0.3291463329
61	0.3284282489
62	0.327570205
63	0.3264350531
64	0.325847671
65	0.3249487289
66	0.3247247032
67	0.3240342116
68	0.323653412
69	0.3227477455
70	0.3221513766
71	0.3217942189
72	0.3214472171
73	0.3211944633
74	0.3206347755
75	0.3201720185
76	0.3199217746
77	0.3195425559
78	0.3192332845
79	0.3187630019
80	0.3184798816
81	0.3180345811
82	0.3170599765
83	0.3165849047
84	0.3162579634
85	0.3160255172
86	0.3156952823
87	0.3154606382
88	0.3150056814
89	0.314731395
90	0.3144892915
91	0.3141868017
92	0.3138845939
93	0.3135753183
94	0.3133545842
95	0.3131014168
96	0.3127868254
97	0.3123879283
98	0.3120881705
99	0.3117556605
100	0.3114775982
101	0.3110054891
102	0.3102027512
103	0.3099650031
104	0.3093082213
105	0.3087351412
106	0.3084526623
107	0.3082344382
108	0.3072841303
109	0.3069387283
110	0.3067098285
111	0.3064916433
112	0.3060771711
113	0.3057536437
114	0.3054540001
115	0.3050716858
116	0.3048022209
117	0.3045894327
118	0.3042501261
119	0.3040208462
120	0.3037928425
121	0.3035658615
122	0.3032923137
123	0.3031770343
124	0.3030024443
125	0.302670671
126	0.3024599356
127	0.302081199
128	0.3018991858
129	0.3016710052
130	0.301476858
131	0.3013196576
132	0.3011446248
133	0.3009081139
134	0.3007183559
135	0.3002326794
136	0.2999746338
137	0.2997691715
138	0.2994136663
139	0.2991528447
140	0.2988834108
141	0.298428354
142	0.2976256952
143	0.2970345441
144	0.2966683239
145	0.2962573676
146	0.2960851611
147	0.2959491446
148	0.2957322529
149	0.2955727863
150	0.2952893384
151	0.2951084369
152	0.2948871465
153	0.2947606055
154	0.2945172013
155	0.2942622951
156	0.2940211041
157	0.2935874851
158	0.2934083991
159	0.2931046913
160	0.2928941205
161	0.2925404889
162	0.292333637
163	0.2919792188
164	0.2918694068
165	0.2916480419
166	0.2912600283
167	0.290502845
168	0.2903710224
169	0.2901934681
170	0.2899715049
171	0.2896347074
172	0.2893069561
173	0.2891323319
174	0.2888465932
175	0.2886356406
176	0.2883930402
177	0.2881433168
178	0.2878819469
179	0.287638238
180	0.2874351482
181	0.2871749502
182	0.2869806335
183	0.2866182792
184	0.2864365277
185	0.2861679287
186	0.285913982
187	0.2853981228
188	0.2851851805
189	0.2849774798
190	0.2847427669
191	0.2845564402
192	0.284290886
193	0.2841205996
194	0.283806976
195	0.2831796245
196	0.2829286718
197	0.282732006
198	0.2824676574
199	0.2823120723
200	0.2820854164
201	0.2818708443
202	0.2815638991
203	0.2812688177
204	0.280921449
205	0.2806722134
206	0.2804721817
207	0.2801110112
208	0.2799107868
209	0.2797482665
210	0.2794032234
211	0.2791377227
212	0.2788716209
213	0.2785668589
214	0.2783040705
215	0.2781232836
216	0.2779563971
217	0.2776985825
218	0.277542845
219	0.2773038138
220	0.2771594099
221	0.2768705038
222	0.2766380754
223	0.2764898472
224	0.2763097858
225	0.2760521777
226	0.275851208
227	0.2755936085
228	0.2752653545
229	0.27498131
230	0.2747264349
231	0.2744759504
232	0.2741835296
233	0.2737460951
234	0.2734707978
235	0.2732104492
236	0.2730854504
237	0.2728633006
238	0.2726891268
239	0.2724501112
240	0.272238183
241	0.2720104528
242	0.2717949535
243	0.2715793982
244	0.2712915978
245	0.271005327
246	0.2708628607
247	0.2705463923
248	0.2702612957
249	0.2700735716
250	0.2697845123
251	0.2695693615
252	0.2692579321
253	0.2689846671
254	0.2686692911
255	0.26848562
256	0.2680284091
257	0.2678096522
258	0.2676433387
259	0.2673559107
260	0.2671941902
261	0.2669998869
262	0.2668677667
263	0.2664890369
264	0.2661557669
265	0.2659177671
266	0.2656817901
267	0.2655427964
268	0.265392856
269	0.2651414153
270	0.2648849704
271	0.2647192902
272	0.2645341035
273	0.2643437464
274	0.2642228525
275	0.2640174545
276	0.2638029646
277	0.2634827372
278	0.2633403008
279	0.263152653
280	0.2630007649
281	0.2627862128
282	0.2625661445
283	0.262308704
284	0.2620591807
285	0.2618819577
286	0.2616776716
287	0.2614799398
288	0.261287171
289	0.2611366592
290	0.2609868156
291	0.2607791988
292	0.2605564932
293	0.2603780427
294	0.2601772922
295	0.2598721455
296	0.2596153436
297	0.2594783786
298	0.2592554576
299	0.2590479105
300	0.2588633607
301	0.2586682906
302	0.2584090703
303	0.2582322664
304	0.2579808285
305	0.2578034519
306	0.2575583481
307	0.2572745299
