iter	Passed	Remaining
0	33	16890
1	61	15240
2	80	13361
3	97	12054
4	113	11224
5	128	10601
6	138	9742
7	145	8924
8	150	8202
9	155	7607
10	160	7132
11	165	6750
12	170	6396
13	176	6123
14	181	5858
15	186	5627
16	191	5426
17	197	5283
18	202	5115
19	206	4959
20	213	4862
21	219	4769
22	226	4700
23	231	4601
24	236	4501
25	242	4425
26	247	4336
27	251	4246
28	257	4176
29	267	4188
30	273	4138
31	279	4093
32	284	4025
33	288	3959
34	293	3905
35	299	3857
36	303	3802
37	309	3757
38	314	3713
39	318	3665
40	324	3637
41	330	3598
42	334	3557
43	340	3525
44	347	3514
45	352	3482
46	359	3460
47	364	3431
48	369	3398
49	375	3379
50	381	3354
51	386	3330
52	396	3340
53	401	3319
54	408	3301
55	412	3274
56	417	3247
57	424	3232
58	429	3206
59	433	3182
60	440	3166
61	444	3140
62	449	3115
63	454	3095
64	460	3082
65	465	3061
66	471	3046
67	476	3028
68	481	3008
69	486	2991
70	491	2968
71	495	2947
72	501	2931
73	506	2915
74	512	2903
75	518	2892
76	523	2875
77	528	2856
78	534	2847
79	539	2829
80	543	2812
81	549	2802
82	554	2784
83	559	2769
84	564	2757
85	569	2742
86	574	2728
87	580	2716
88	586	2706
89	590	2692
90	598	2690
91	603	2677
92	608	2664
93	615	2657
94	622	2653
95	628	2646
96	633	2631
97	639	2622
98	644	2609
99	649	2597
100	655	2589
101	661	2579
102	666	2569
103	673	2564
104	678	2553
105	685	2548
106	690	2537
107	695	2524
108	702	2520
109	707	2510
110	713	2499
111	718	2490
112	723	2477
113	729	2471
114	734	2460
115	742	2456
116	748	2450
117	753	2439
118	758	2427
119	765	2423
120	771	2417
121	776	2405
122	782	2398
123	787	2389
124	792	2377
125	798	2368
126	803	2358
127	807	2347
128	813	2339
129	819	2332
130	826	2327
131	832	2320
132	837	2311
133	842	2301
134	849	2297
135	854	2286
136	859	2277
137	865	2270
138	870	2261
139	875	2250
140	881	2243
141	888	2240
142	895	2236
143	905	2238
144	912	2235
145	917	2225
146	922	2215
147	927	2205
148	932	2197
149	937	2187
150	943	2181
151	948	2172
152	953	2162
153	958	2152
154	963	2143
155	967	2133
156	972	2123
157	978	2118
158	982	2108
159	987	2097
160	992	2089
161	997	2081
162	1001	2071
163	1006	2061
164	1013	2058
165	1018	2049
166	1025	2044
167	1030	2035
168	1034	2026
169	1041	2021
170	1045	2012
171	1050	2003
172	1055	1995
173	1063	1992
174	1068	1984
175	1074	1978
176	1079	1970
177	1084	1961
178	1089	1953
179	1096	1948
180	1100	1940
181	1106	1933
182	1112	1926
183	1116	1917
184	1121	1909
185	1126	1901
186	1130	1892
187	1135	1884
188	1140	1876
189	1144	1867
190	1149	1858
191	1153	1851
192	1159	1844
193	1163	1835
194	1168	1828
195	1175	1822
196	1181	1817
197	1187	1811
198	1193	1804
199	1197	1796
200	1202	1788
201	1207	1780
202	1211	1772
203	1215	1764
204	1221	1758
205	1227	1751
206	1231	1743
207	1240	1741
208	1246	1735
209	1251	1727
210	1256	1721
211	1265	1719
212	1272	1714
213	1278	1708
214	1284	1702
215	1290	1696
